Frequentie (Hz),Spanning (V),Fase (degrees)
579.993,0.075,0.000
579.999,0.075,0.000
579.999,0.075,0.000
579.999,0.075,0.000
579.999,0.075,0.000
580.000,0.075,0.000
580.003,0.075,0.000
580.003,0.075,0.000
589.997,0.073,0.000
589.997,0.073,0.000
589.999,0.073,0.000
590.000,0.073,0.000
590.002,0.073,0.000
590.002,0.073,0.000
590.005,0.073,0.000
599.992,0.071,0.000
599.995,0.071,0.000
599.998,0.071,0.000
600.001,0.071,0.000
600.004,0.071,0.000
600.005,0.071,0.000
609.996,0.070,0.000
609.998,0.070,0.000
609.998,0.070,0.000
610.001,0.070,0.000
610.001,0.070,0.000
619.995,0.068,0.000
619.996,0.068,0.000
619.998,0.068,0.000
619.999,0.068,0.000
619.999,0.068,0.000
620.002,0.068,0.000
629.994,0.067,0.000
629.997,0.067,0.000
629.998,0.067,0.000
629.998,0.067,0.000
630.003,0.067,0.000
639.998,0.065,0.000
639.999,0.065,0.000
639.999,0.065,0.000
640.001,0.065,0.000
640.005,0.065,0.000
649.914,0.064,0.000
650.000,0.064,0.000
650.000,0.064,0.000
650.000,0.064,0.000
650.001,0.064,0.000
650.001,0.064,0.000
659.996,0.063,0.000
659.996,0.063,0.000
659.997,0.063,0.000
659.998,0.063,0.000
660.001,0.063,0.000
669.966,0.062,0.000
670.001,0.062,0.000
670.003,0.062,0.000
670.007,0.062,0.000
670.008,0.062,0.000
670.008,0.062,0.000
679.995,0.061,0.000
679.995,0.060,0.000
680.000,0.060,0.000
680.003,0.061,0.000
680.003,0.061,0.000
680.005,0.060,0.000
689.994,0.059,0.000
690.001,0.059,0.000
690.001,0.059,0.000
690.002,0.059,0.000
690.003,0.059,0.000
699.996,0.058,0.000
699.997,0.058,0.000
699.998,0.058,0.000
700.002,0.058,0.000
700.004,0.058,0.000
700.009,0.058,0.000
709.995,0.057,0.000
709.997,0.057,0.000
710.001,0.057,0.000
710.002,0.057,0.000
710.006,0.057,0.000
719.994,0.056,0.000
719.994,0.056,0.000
719.998,0.056,0.000
720.003,0.056,0.000
729.992,0.055,0.000
729.999,0.055,0.000
730.000,0.055,0.000
730.002,0.055,0.000
730.004,0.055,0.000
730.004,0.055,0.000
730.009,0.055,0.000
739.244,0.054,0.000
739.995,0.054,0.000
