Frequentie (Hz),Spanning (V),Fase (degrees)
99.962,0.017,0
99.971,0.017,0
99.979,0.017,0
99.983,0.017,0
99.985,0.017,0
99.986,0.017,0
99.993,0.017,0
99.995,0.017,0
100.004,0.017,0
100.006,0.017,0
100.006,0.017,0
100.006,0.017,0
100.009,0.017,0
100.016,0.017,0
100.017,0.017,0
100.017,0.017,0
100.018,0.017,0
100.038,0.017,0
109.994,0.019,0
109.995,0.019,0
109.997,0.019,0
109.997,0.019,0
110,0.019,0
110.002,0.019,0
118.947,0.021,0
119.993,0.021,0
119.994,0.021,0
119.994,0.021,0
119.997,0.021,0
119.997,0.021,0
120.006,0.021,0
129.991,0.023,0
129.991,0.023,0
129.994,0.023,0
129.999,0.023,0
130.001,0.023,0
130.008,0.023,0
130.009,0.023,0
139.996,0.025,0
139.997,0.025,0
140.002,0.025,0
140.005,0.025,0
140.008,0.025,0
140.01,0.025,0
149.993,0.028,0
149.999,0.028,0
150.001,0.028,0
150.004,0.028,0
150.01,0.028,0
159.995,0.03,0
159.997,0.03,0
159.997,0.03,0
160,0.03,0
160.003,0.03,0
169.984,0.032,0
169.992,0.032,0
169.992,0.032,0
169.997,0.032,0
170.009,0.032,0
170.01,0.032,0
179.996,0.035,0
179.996,0.035,0
179.998,0.035,0
179.998,0.035,0
180.004,0.035,0
180.008,0.035,0
189.991,0.037,0
189.992,0.037,0
189.994,0.037,0
189.997,0.037,0
189.997,0.037,0
190.001,0.037,0
199.995,0.04,0
199.999,0.04,0
200,0.04,0
200.004,0.04,0
200.005,0.04,0
209.996,0.043,0
209.996,0.043,0
209.997,0.043,0
209.997,0.043,0
209.999,0.043,0
210.008,0.043,0
219.995,0.046,0
219.998,0.046,0
220.001,0.046,0
220.003,0.046,0
220.003,0.046,0
229.999,0.05,0
229.999,0.05,0
230.001,0.05,0
230.003,0.05,0
239.991,0.053,0
239.993,0.053,0
239.994,0.053,0
239.999,0.053,0
239.999,0.053,0
239.999,0.053,0
239.999,0.053,0
240,0.053,0
240.003,0.053,0
240.005,0.053,0
240.024,0.053,0
249.999,0.057,0
250.002,0.057,0
250.002,0.057,0
250.006,0.057,0
250.01,0.057,0
259.998,0.061,0
260,0.061,0
260.001,0.061,0
260.002,0.061,0
260.003,0.061,0
260.005,0.061,0
260.006,0.061,0
269.994,0.066,0
269.994,0.066,0
269.997,0.066,0
269.999,0.066,0
270,0.066,0
270.005,0.066,0
279.997,0.071,0
280,0.071,0
280,0.071,0
280.001,0.071,0
280.002,0.071,0
289.998,0.076,0
289.998,0.076,0
289.998,0.076,0
290,0.076,0
290,0.076,0
290.001,0.076,0
299.995,0.082,0
299.996,0.082,0
299.999,0.082,0
300.003,0.082,0
300.003,0.082,0
309.996,0.089,0
309.998,0.089,0
310,0.089,0
310,0.089,0
310.002,0.089,0
313.679,0.091,0
319.998,0.096,0
319.999,0.096,0
320.001,0.096,0
320.002,0.096,0
329.998,0.104,0
329.998,0.104,0
330.001,0.104,0
330.002,0.104,0
339.999,0.114,0
340,0.114,0
340,0.114,0
340.001,0.114,0
340.001,0.114,0
340.001,0.114,0
340.001,0.114,0
340.002,0.114,0
340.003,0.114,0
340.003,0.114,0
340.006,0.114,0
340.444,0.114,0
350.001,0.124,0
350.002,0.124,0
350.002,0.124,0
350.003,0.124,0
350.004,0.124,0
350.005,0.124,0
360,0.136,0
360,0.136,0
360.002,0.136,0
360.003,0.136,0
360.004,0.136,0
360.005,0.136,0
370.004,0.149,0
370.004,0.149,0
370.005,0.149,0
370.007,0.149,0
370.008,0.149,0
370.009,0.149,0
370.01,0.149,0
370.011,0.149,0
370.011,0.149,0
370.012,0.149,0
370.016,0.149,0
379.997,0.163,0
380.001,0.163,0
380.002,0.163,0
380.003,0.163,0
380.006,0.163,0
380.007,0.163,0
389.993,0.179,0
389.993,0.179,0
389.995,0.179,0
389.998,0.18,0
389.999,0.18,0
397.466,0.19,0
399.987,0.197,0
399.989,0.196,0
399.991,0.196,0
399.991,0.197,0
399.992,0.197,0
399.994,0.197,0
399.997,0.197,0
409.988,0.214,0
409.993,0.214,0
409.993,0.214,0
409.995,0.214,0
409.996,0.214,0
419.985,0.229,0
419.987,0.229,0
419.989,0.229,0
419.991,0.229,0
419.992,0.229,0
419.992,0.229,0
430,0.242,0
430,0.242,0
430.001,0.242,0
430.001,0.242,0
430.005,0.242,0
439.991,0.249,0
439.992,0.249,0
439.992,0.249,0
439.996,0.249,0
439.997,0.249,0
443.732,0.249,0
450.009,0.251,0
450.01,0.251,0
450.013,0.251,0
450.016,0.251,0
450.018,0.251,0
460.015,0.248,0
460.017,0.248,0
460.019,0.248,0
460.023,0.248,0
460.03,0.248,0
470.01,0.24,0
470.01,0.24,0
470.011,0.24,0
470.012,0.24,0
470.012,0.24,0
470.013,0.24,0
470.015,0.24,0
471.782,0.238,0
480.013,0.23,0
480.014,0.23,0
480.016,0.23,0
480.017,0.23,0
480.021,0.23,0
480.022,0.23,0
481.181,0.229,0
490.002,0.219,0
490.002,0.219,0
490.004,0.219,0
490.008,0.219,0
499.989,0.207,0
499.99,0.207,0
499.99,0.207,0
499.991,0.208,0
499.995,0.208,0
499.997,0.207,0
499.997,0.207,0
510,0.196,0
510,0.196,0
510.002,0.196,0
510.003,0.196,0
519.992,0.185,0
519.997,0.185,0
519.998,0.185,0
519.999,0.185,0
519.999,0.185,0
529.992,0.174,0
529.993,0.174,0
529.993,0.175,0
530.097,0.175,0
535.149,0.169,0
539.998,0.165,0
539.998,0.165,0
539.998,0.165,0
540,0.165,0
549.997,0.156,0
549.997,0.156,0
549.998,0.156,0
549.998,0.156,0
549.998,0.156,0
549.999,0.156,0
559.99,0.148,0
559.996,0.148,0
559.996,0.148,0
559.996,0.148,0
559.997,0.148,0
560,0.148,0
560,0.148,0
560.436,0.148,0
569.999,0.141,0
569.999,0.141,0
570,0.14,0
570.002,0.14,0
579.996,0.134,0
579.998,0.134,0
579.999,0.134,0
579.999,0.134,0
579.999,0.134,0
580,0.134,0
587.033,0.129,0
589.996,0.127,0
589.998,0.127,0
589.999,0.127,0
589.999,0.128,0
590,0.127,0
590.004,0.128,0
599.996,0.122,0
599.997,0.122,0
600.001,0.122,0
600.001,0.122,0
600.004,0.122,0
609.998,0.116,0
609.998,0.116,0
609.999,0.116,0
609.999,0.117,0
610,0.116,0
610.003,0.116,0
619.997,0.112,0
619.999,0.112,0
619.999,0.112,0
619.999,0.112,0
620.001,0.112,0
629.998,0.107,0
629.999,0.107,0
629.999,0.107,0
630,0.107,0
630.001,0.107,0
639.429,0.103,0
639.996,0.103,0
639.998,0.103,0
639.999,0.103,0
640,0.103,0
640.005,0.103,0
649.997,0.099,0
650,0.099,0
650,0.099,0
650.001,0.099,0
650.001,0.099,0
650.003,0.099,0
659.997,0.096,0
659.999,0.096,0
659.999,0.096,0
660.002,0.096,0
660.002,0.096,0
660.004,0.096,0
669.996,0.092,0
670,0.092,0
670.001,0.092,0
670.002,0.092,0
670.006,0.092,0
679.996,0.089,0
679.999,0.089,0
680.001,0.089,0
680.002,0.089,0
689.997,0.087,0
689.999,0.087,0
690,0.087,0
690.001,0.087,0
690.002,0.087,0
690.002,0.087,0
699.997,0.084,0
699.998,0.084,0
699.998,0.084,0
700,0.084,0
700,0.084,0
700.003,0.084,0
709.995,0.081,0
709.996,0.081,0
709.996,0.081,0
709.997,0.081,0
709.999,0.081,0
719.999,0.079,0
719.999,0.079,0
720,0.079,0
720,0.079,0
720.001,0.079,0
720.003,0.079,0
729.998,0.077,0
730.001,0.077,0
730.002,0.077,0
730.002,0.077,0
730.003,0.077,0
730.003,0.077,0
739.998,0.075,0
739.999,0.075,0
740,0.075,0
740.002,0.075,0
740.005,0.075,0
740.005,0.075,0
749.998,0.073,0
749.999,0.073,0
750,0.073,0
750.001,0.073,0
750.003,0.073,0
759.993,0.071,0
759.995,0.071,0
759.997,0.071,0
759.998,0.071,0
760.002,0.071,0
760.008,0.071,0
769.995,0.069,0
769.998,0.069,0
769.998,0.069,0
770.002,0.069,0
779.996,0.068,0
779.997,0.068,0
780,0.068,0
780,0.068,0
780,0.068,0
789.988,0.066,0
789.989,0.066,0
789.998,0.066,0
790.006,0.066,0
790.009,0.066,0
799.993,0.064,0
799.996,0.064,0
800.002,0.064,0
800.002,0.064,0
800.007,0.064,0
809.996,0.063,0
810,0.063,0
810,0.063,0
810.002,0.063,0
810.006,0.063,0
810.01,0.063,0
819.997,0.062,0
819.998,0.062,0
820.002,0.062,0
820.002,0.062,0
829.994,0.06,0
829.996,0.06,0
830.001,0.06,0
830.002,0.06,0
830.002,0.06,0
839.997,0.059,0
839.998,0.059,0
840.001,0.059,0
840.002,0.059,0
841.661,0.059,0
849.995,0.058,0
849.996,0.058,0
849.998,0.058,0
849.998,0.058,0
849.998,0.058,0
856.681,0.057,0
859.996,0.057,0
859.997,0.057,0
859.998,0.057,0
860.001,0.057,0
860.003,0.057,0
869.991,0.056,0
869.994,0.056,0
869.999,0.056,0
870.005,0.056,0
879.997,0.055,0
879.997,0.055,0
879.997,0.055,0
879.998,0.055,0
880.003,0.055,0
889.992,0.054,0
889.995,0.054,0
889.997,0.054,0
890,0.054,0
890.001,0.054,0
890.003,0.054,0
890.523,0.054,0
899.992,0.053,0
900,0.053,0
900.008,0.053,0
900.013,0.053,0
904.442,0.052,0
909.997,0.052,0
910,0.052,0
910.002,0.052,0
910.004,0.052,0
913.556,0.051,0
919.999,0.051,0
920.001,0.051,0
920.006,0.051,0
920.008,0.051,0
920.071,0.051,0
929.996,0.05,0
929.998,0.05,0
930,0.05,0
930.002,0.05,0
930.005,0.05,0
930.005,0.05,0
940,0.049,0
940.005,0.049,0
940.007,0.049,0
940.007,0.049,0
949.994,0.048,0
949.995,0.048,0
949.995,0.048,0
949.997,0.048,0
950.002,0.048,0
950.002,0.048,0
959.991,0.048,0
959.997,0.048,0
959.998,0.048,0
960.001,0.048,0
960.001,0.048,0
960.008,0.048,0
969.992,0.047,0
969.996,0.047,0
969.997,0.047,0
970.002,0.047,0
970.003,0.047,0
970.014,0.047,0
979.996,0.046,0
979.999,0.046,0
980.001,0.046,0
980.002,0.046,0
980.005,0.046,0
980.005,0.046,0
989.998,0.045,0
989.998,0.045,0
989.999,0.045,0
990.001,0.045,0
990.004,0.045,0
990.005,0.045,0
999.98,0.045,0
999.982,0.045,0
999.986,0.045,0
999.986,0.045,0
999.987,0.045,0
999.989,0.045,0
999.993,0.045,0
999.994,0.045,0
999.994,0.045,0
999.994,0.045,0
999.995,0.045,0
999.997,0.045,0
999.998,0.045,0
999.998,0.045,0
1000,0.045,0
1000,0.045,0
1000.002,0.045,0
1000.003,0.045,0
1000.004,0.045,0
1000.007,0.045,0
1000.01,0.045,0
1000.01,0.045,0
1000.013,0.045,0
1000.013,0.045,0
1000.015,0.045,0
1000.015,0.045,0
1000.02,0.045,0
