Frequentie (Hz),Spanning (V),Fase (degrees)
249.003,0.469,-2.527
249.003,0.469,-2.517
249.003,0.469,-2.524
249.003,0.469,-2.533
249.003,0.469,-2.518
249.003,0.469,-2.516
249.003,0.469,-2.523
249.003,0.469,-2.524
249.003,0.469,-2.505
249.003,0.469,-2.522
249.003,0.469,-2.516
249.003,0.469,-2.512
249.003,0.469,-2.524
249.003,0.469,-2.52
249.003,0.469,-2.522
249.003,0.469,-2.518
249.003,0.469,-2.502
249.003,0.469,-2.512
249.003,0.469,-2.508
249.003,0.469,-2.516
249.003,0.469,-2.503
249.003,0.469,-2.512
249.003,0.469,-2.502
249.003,0.469,-2.513
249.003,0.469,-2.507
249.004,0.469,-2.5
249.004,0.469,-2.514
249.004,0.469,-2.507
249.004,0.469,-2.513
249.004,0.469,-2.507
249.004,0.469,-2.502
249.004,0.469,-2.518
249.004,0.469,-2.515
249.004,0.469,-2.493
249.004,0.469,-2.495
249.004,0.469,-2.519
249.004,0.469,-2.508
249.004,0.469,-2.502
249.004,0.469,-2.494
249.004,0.469,-2.514
249.005,0.469,-2.494
249.005,0.469,-2.495
249.005,0.469,-2.515
249.005,0.469,-2.506
249.005,0.469,-2.487
249.005,0.469,-2.497
249.033,0.469,-2.767
250.004,0.469,-1.277
250.004,0.469,-1.272
250.004,0.469,-1.265
250.007,0.469,-1.259
251.002,0.469,-0.099
251.005,0.469,-0.062
251.008,0.469,-0.03
251.008,0.469,-0.032
251.993,0.469,1.07
252.005,0.469,1.128
252.007,0.469,1.148
252.009,0.469,1.163
252.009,0.469,1.175
252.01,0.469,1.187
253.004,0.469,2.31
253.004,0.469,2.311
253.011,0.469,2.376
253.013,0.469,2.39
254.008,0.469,3.529
254.009,0.469,3.53
254.01,0.469,3.556
254.013,0.469,3.577
255.005,0.47,4.669
255.01,0.469,4.702
255.011,0.47,4.724
255.011,0.47,4.713
255.014,0.47,4.748
256.007,0.47,5.825
256.009,0.47,5.844
256.012,0.47,5.867
256.016,0.47,5.921
257.011,0.47,6.997
257.012,0.47,7.001
257.015,0.47,7.036
257.018,0.47,7.047
257.019,0.47,7.061
258.006,0.47,7.955
258.006,0.47,7.962
