133,0.02
5983,0.03
11970,0.04
18010,0.01
23953,0.02
29969,0.01
35947,0.01
41989,0.02
47939,0.02
54002,0.02
60005,0.01
65952,0.02
71945,0.02
78011,0.02
84125,0.03
90078,0.02
96232,0.02
102060,0.02
108080,0.01
114251,0.01
122027,0.03
129203,0.01
135195,0.02
141058,0.03
147092,0.01
153006,0.02
158975,0.01
165023,0.01
171025,0.03
177016,0.02
183057,0.03
189047,0.0
194935,0.02
201022,0.01
207006,0.02
213090,0.01
219027,0.0
224970,0.01
231037,0.01
237034,0.03
243003,0.02
249024,0.02
255006,0.02
261002,0.02
267049,0.03
273026,0.02
279024,0.02
285031,0.02
291015,0.03
297009,0.02
303026,0.03
309044,0.01
315022,0.01
321053,0.02
327034,0.02
333015,0.03
339094,0.02
345009,0.03
351001,0.01
358542,0.03
365002,0.03
371036,0.03
376701,0.0
382003,0.02
388048,0.03
394010,0.03
399965,0.02
406024,0.02
411958,0.02
418007,0.02
423992,0.01
429972,0.03
435978,0.03
441973,0.03
447982,0.02
453975,0.02
459929,0.01
465954,0.02
471980,0.01
478121,0.01
484087,0.02
490028,0.01
496042,0.02
502026,0.03
508004,0.02
514054,0.01
520043,0.03
526030,0.01
532896,0.02
539059,0.01
545012,0.02
551016,0.01
556993,0.01
563001,0.02
569012,0.03
575018,0.02
581007,0.03
587017,0.02
593043,0.02
599350,0.03
605030,0.02
610983,0.03
616999,0.01
622979,0.03
628967,0.01
634994,0.01
640954,0.01
646928,0.03
652977,0.02
658941,0.01
664961,0.02
670933,0.03
677028,0.02
683007,0.02
689066,0.01
694956,0.01
701035,0.02
706916,0.01
712992,0.01
718949,0.02
724961,0.01
730959,0.02
736972,0.02
742942,0.03
748930,0.02
754992,0.01
760914,0.01
767010,0.02
772952,0.02
778967,0.02
784967,0.02
790984,0.02
796921,0.01
802951,0.02
808943,0.02
814975,0.03
821008,0.02
827021,0.02
833007,0.01
839002,0.04
844974,0.03
850982,0.02
856931,0.01
862918,0.02
868977,0.01
874965,0.02
880983,0.01
886916,0.03
892972,0.0
898935,0.02
904985,0.02
910937,0.01
916942,0.02
922951,0.02
928967,0.03
935006,0.03
940939,0.02
946932,0.02
952970,0.02
958928,0.01
964997,0.01
970978,0.01
977033,0.02
983005,0.02
989021,0.02
994974,0.01
1000979,0.01
1006989,0.02
1012923,0.02
1019016,0.01
1024938,0.02
1030959,0.01
1036949,0.03
1042963,0.02
1048931,0.02
1054947,0.02
1060942,0.03
1066960,0.02
1072922,0.02
1078991,0.01
1084923,0.02
1090978,0.02
1096924,0.02
1102941,0.02
1108921,0.02
1114998,0.02
1120641,0.04
1126053,0.02
1131999,0.02
1137944,0.02
1143960,0.02
1149987,0.02
1155940,0.01
1161902,0.01
1167934,0.01
1173994,0.03
