Frequentie (Hz),Spanning (V),Fase (degrees)
99.991,0.06,0
99.993,0.06,0
99.995,0.06,0
99.998,0.06,0
99.999,0.06,0
100,0.06,0
100,0.06,0
100,0.06,0
100.001,0.06,0
100.002,0.06,0
100.003,0.06,0
100.003,0.06,0
100.003,0.06,0
100.004,0.06,0
100.008,0.06,0
109.994,0.069,0
109.995,0.069,0
109.998,0.069,0
109.999,0.069,0
110,0.069,0
110,0.069,0
110.001,0.069,0
110.003,0.069,0
110.005,0.069,0
119.995,0.078,0
119.997,0.078,0
119.998,0.078,0
119.998,0.078,0
120.001,0.078,0
120.001,0.078,0
120.002,0.078,0
120.003,0.078,0
129.994,0.088,0
129.996,0.088,0
129.999,0.088,0
129.999,0.088,0
129.999,0.088,0
130.001,0.088,0
130.002,0.088,0
130.002,0.088,0
130.003,0.088,0
139.996,0.099,0
139.997,0.099,0
139.997,0.099,0
140,0.099,0
140,0.099,0
140,0.099,0
140.001,0.099,0
140.001,0.099,0
140.001,0.099,0
140.004,0.099,0
149.998,0.112,0
149.998,0.112,0
149.998,0.112,0
149.999,0.112,0
150.002,0.112,0
150.003,0.112,0
150.005,0.112,0
159.997,0.127,0
159.998,0.127,0
159.998,0.127,0
160,0.127,0
160,0.127,0
160.001,0.127,0
160.004,0.127,0
169.998,0.144,0
169.999,0.144,0
170.001,0.144,0
170.002,0.144,0
170.009,0.144,0
172.285,0.148,0
179.999,0.165,0
179.999,0.165,0
180.001,0.164,0
180.001,0.165,0
180.002,0.165,0
180.002,0.165,0
180.002,0.165,0
180.004,0.164,0
180.005,0.164,0
189.996,0.188,0
189.998,0.188,0
189.998,0.188,0
190.001,0.188,0
190.001,0.188,0
190.001,0.188,0
190.002,0.188,0
190.002,0.188,0
190.002,0.188,0
199.239,0.21,0
199.989,0.215,0
199.99,0.215,0
199.992,0.215,0
199.992,0.215,0
199.993,0.215,0
199.998,0.215,0
201.217,0.219,0
209.988,0.245,0
209.992,0.245,0
209.996,0.245,0
209.999,0.245,0
209.999,0.245,0
209.999,0.245,0
209.999,0.245,0
210.002,0.245,0
212.987,0.255,0
212.989,0.255,0
212.99,0.255,0
212.99,0.255,0
212.991,0.255,0
212.991,0.255,0
212.991,0.255,0
212.992,0.255,0
212.993,0.255,0
212.993,0.255,0
212.995,0.255,0
212.996,0.255,0
212.997,0.255,0
212.999,0.255,0
212.999,0.255,0
213.02,0.255,0
213.99,0.258,0
213.993,0.258,0
213.998,0.258,0
213.999,0.258,0
214,0.258,0
214.99,0.261,0
214.991,0.261,0
214.991,0.261,0
215,0.261,0
215,0.261,0
215.98,0.264,0
215.99,0.264,0
215.994,0.264,0
215.998,0.264,0
215.998,0.264,0
216.992,0.267,0
216.992,0.267,0
216.994,0.267,0
216.994,0.267,0
216.996,0.267,0
217.983,0.27,0
217.992,0.27,0
217.993,0.27,0
217.997,0.27,0
218.072,0.271,0
218.986,0.273,0
218.988,0.273,0
218.99,0.273,0
218.992,0.273,0
218.995,0.273,0
219.983,0.276,0
219.986,0.276,0
219.988,0.276,0
219.989,0.276,0
219.99,0.276,0
219.99,0.276,0
219.991,0.276,0
