Frequentie (Hz),Spanning (V),Fase (degrees)
600.011,0.015,0
600.02,0.015,0
609.993,0.014,0
609.996,0.014,0
610.003,0.014,0
610.005,0.014,0
610.005,0.014,0
619.969,0.014,0
619.992,0.014,0
619.997,0.014,0
620.007,0.014,0
620.008,0.014,0
620.012,0.014,0
629.983,0.014,0
629.985,0.014,0
629.997,0.014,0
630.012,0.014,0
633.23,0.013,0
639.991,0.013,0
640.001,0.013,0
640.012,0.013,0
640.028,0.013,0
640.034,0.013,0
649.985,0.013,0
649.996,0.013,0
649.998,0.013,0
650.001,0.013,0
650.002,0.013,0
650.007,0.013,0
659.986,0.013,0
659.999,0.013,0
660.006,0.013,0
660.023,0.013,0
669.996,0.013,0
670.003,0.013,0
670.004,0.013,0
670.011,0.013,0
670.015,0.013,0
679.965,0.012,0
679.983,0.012,0
679.989,0.012,0
680.002,0.012,0
680.005,0.012,0
682.45,0.012,0
689.991,0.012,0
689.996,0.012,0
690.005,0.012,0
690.026,0.012,0
699.97,0.012,0
699.994,0.012,0
699.997,0.012,0
699.997,0.012,0
700.01,0.012,0
709.994,0.012,0
709.995,0.012,0
710.008,0.012,0
710.011,0.012,0
710.019,0.012,0
719.97,0.011,0
719.986,0.011,0
719.987,0.011,0
719.999,0.011,0
720.001,0.011,0
720.032,0.011,0
729.994,0.011,0
730.002,0.011,0
730.008,0.011,0
730.014,0.011,0
730.017,0.011,0
739.968,0.011,0
739.985,0.011,0
739.998,0.011,0
740.003,0.011,0
740.012,0.011,0
740.012,0.011,0
749.977,0.011,0
750.003,0.011,0
750.005,0.011,0
750.014,0.011,0
750.014,0.011,0
759.417,0.011,0
759.989,0.011,0
759.991,0.011,0
759.997,0.011,0
760.015,0.011,0
760.033,0.011,0
769.98,0.01,0
769.985,0.011,0
769.987,0.01,0
769.99,0.011,0
769.995,0.01,0
770.017,0.011,0
779.991,0.01,0
779.996,0.01,0
780,0.01,0
780.006,0.01,0
780.008,0.01,0
780.02,0.01,0
789.97,0.01,0
789.993,0.01,0
789.996,0.01,0
790.013,0.01,0
799.972,0.01,0
799.986,0.01,0
799.993,0.01,0
799.995,0.01,0
799.996,0.01,0
800.003,0.01,0
809.968,0.01,0
809.988,0.01,0
809.989,0.01,0
809.991,0.01,0
810.004,0.01,0
819.99,0.01,0
819.995,0.01,0
820.005,0.01,0
820.009,0.01,0
820.028,0.01,0
829.985,0.01,0
829.999,0.01,0
830.006,0.01,0
830.016,0.01,0
830.047,0.01,0
839.965,0.009,0
839.976,0.009,0
839.982,0.009,0
839.986,0.009,0
839.991,0.009,0
840.018,0.009,0
849.978,0.009,0
849.999,0.009,0
850.002,0.009,0
850.011,0.009,0
850.025,0.009,0
850.029,0.009,0
859.971,0.009,0
859.99,0.009,0
859.992,0.009,0
860.015,0.009,0
860.026,0.009,0
869.961,0.009,0
869.975,0.009,0
869.977,0.009,0
869.998,0.009,0
870.009,0.009,0
879.955,0.009,0
879.974,0.009,0
879.993,0.009,0
879.994,0.009,0
880.011,0.009,0
889.957,0.009,0
889.975,0.009,0
889.989,0.009,0
890,0.009,0
890.03,0.009,0
899.98,0.009,0
899.984,0.009,0
899.988,0.009,0
899.989,0.009,0
900.027,0.009,0
909.989,0.009,0
909.998,0.009,0
910.009,0.009,0
910.013,0.009,0
910.029,0.009,0
919.987,0.009,0
919.997,0.009,0
920.007,0.009,0
920.007,0.009,0
920.011,0.008,0
920.015,0.009,0
929.974,0.008,0
929.996,0.008,0
930.005,0.008,0
930.01,0.008,0
930.026,0.008,0
939.986,0.008,0
939.995,0.008,0
939.995,0.008,0
939.999,0.008,0
940.004,0.008,0
940.011,0.008,0
949.992,0.008,0
949.993,0.008,0
950.006,0.008,0
950.027,0.008,0
959.971,0.008,0
960.01,0.008,0
960.011,0.008,0
960.017,0.008,0
960.024,0.008,0
966.496,0.008,0
969.985,0.008,0
969.999,0.008,0
970.01,0.008,0
970.038,0.008,0
970.041,0.008,0
979.989,0.008,0
979.99,0.008,0
980,0.008,0
980.005,0.008,0
980.024,0.008,0
987.738,0.008,0
989.974,0.008,0
990.007,0.008,0
990.01,0.008,0
990.018,0.008,0
990.02,0.008,0
999.936,0.008,0
999.947,0.008,0
999.973,0.008,0
999.992,0.008,0
999.993,0.008,0
999.998,0.008,0
1000.002,0.008,0
1000.009,0.008,0
1000.011,0.008,0
1000.022,0.008,0
1000.025,0.008,0
1000.026,0.008,0
1000.034,0.008,0
1000.04,0.008,0
1000.051,0.008,0
