Frequentie (Hz),Spanning (V),Fase (degrees)
100,0.095,0
100,0.095,0
100.002,0.095,0
100.003,0.095,0
100.004,0.095,0
100.004,0.095,0
100.005,0.095,0
100.006,0.095,0
109.996,0.108,0
109.998,0.108,0
109.998,0.108,0
110,0.108,0
110.002,0.108,0
119.999,0.122,0
120,0.122,0
120,0.122,0
120.001,0.122,0
120.003,0.122,0
129.998,0.137,0
129.999,0.137,0
130,0.137,0
130.001,0.137,0
130.001,0.137,0
139.762,0.151,0
139.998,0.153,0
140,0.153,0
140,0.153,0
140.001,0.153,0
149.999,0.171,0
150,0.171,0
150.001,0.171,0
150.002,0.171,0
150.002,0.171,0
151.621,0.174,0
159.999,0.192,0
160.001,0.192,0
160.001,0.192,0
160.001,0.192,0
160.001,0.192,0
160.001,0.191,0
169.999,0.214,0
170.001,0.214,0
170.003,0.214,0
170.004,0.214,0
170.969,0.216,0
179.999,0.238,0
180.001,0.238,0
180.002,0.238,0
180.002,0.238,0
189.999,0.265,0
190,0.264,0
190.001,0.265,0
190.001,0.264,0
199.995,0.292,0
199.997,0.292,0
199.999,0.292,0
199.999,0.292,0
200,0.292,0
209.996,0.319,0
209.996,0.319,0
209.997,0.319,0
209.997,0.319,0
209.998,0.319,0
209.999,0.319,0
219.996,0.344,0
219.997,0.344,0
219.997,0.344,0
219.999,0.344,0
219.999,0.344,0
229.997,0.364,0
229.998,0.364,0
229.999,0.364,0
230,0.364,0
230,0.364,0
239.995,0.377,0
239.998,0.377,0
239.998,0.377,0
239.998,0.377,0
250,0.381,0
250.001,0.381,0
250.001,0.381,0
250.001,0.381,0
258.237,0.379,0
260.002,0.378,0
260.002,0.378,0
260.007,0.378,0
260.948,0.378,0
269.999,0.368,0
270.001,0.368,0
270.001,0.368,0
270.002,0.368,0
270.004,0.368,0
280.002,0.354,0
280.003,0.354,0
280.005,0.354,0
280.006,0.354,0
280.008,0.354,0
289.999,0.338,0
290,0.338,0
290.001,0.338,0
290.001,0.338,0
290.003,0.338,0
290.004,0.338,0
299.996,0.322,0
300,0.322,0
300,0.322,0
300,0.322,0
309.999,0.305,0
309.999,0.305,0
310.001,0.305,0
310.002,0.305,0
310.003,0.305,0
320,0.289,0
320.001,0.289,0
320.001,0.289,0
320.001,0.289,0
329.997,0.274,0
329.999,0.275,0
329.999,0.274,0
330,0.274,0
339.998,0.261,0
339.999,0.26,0
340,0.261,0
340,0.261,0
349.998,0.248,0
349.999,0.248,0
349.999,0.248,0
350,0.248,0
350,0.248,0
359.999,0.236,0
360,0.236,0
360.001,0.236,0
360.002,0.236,0
369.405,0.226,0
369.999,0.225,0
370,0.225,0
370.002,0.225,0
370.002,0.225,0
379.999,0.215,0
380,0.215,0
