Frequentie (Hz),Spanning (V),Fase (degrees)
649.992,0.026,0
649.994,0.026,0
650.002,0.026,0
650.003,0.026,0
659.991,0.025,0
659.993,0.025,0
659.999,0.025,0
659.999,0.025,0
660.001,0.025,0
660.003,0.025,0
669.98,0.025,0
669.991,0.025,0
670.005,0.025,0
670.008,0.025,0
670.022,0.025,0
679.978,0.024,0
679.984,0.024,0
679.996,0.024,0
679.998,0.024,0
679.999,0.024,0
680.004,0.024,0
689.99,0.024,0
689.992,0.024,0
689.993,0.024,0
690.005,0.024,0
690.007,0.024,0
690.015,0.024,0
699.995,0.024,0
699.996,0.024,0
699.997,0.024,0
700.003,0.024,0
700.008,0.024,0
700.014,0.024,0
709.986,0.023,0
709.99,0.023,0
710.004,0.023,0
710.011,0.023,0
710.018,0.023,0
719.993,0.023,0
720.003,0.023,0
720.006,0.023,0
720.007,0.023,0
729.368,0.022,0
729.984,0.022,0
729.994,0.022,0
729.995,0.022,0
729.995,0.022,0
739.988,0.022,0
739.988,0.022,0
739.999,0.022,0
740.002,0.022,0
740.003,0.022,0
749.981,0.022,0
749.998,0.022,0
750.003,0.022,0
750.005,0.022,0
750.012,0.022,0
750.017,0.022,0
759.985,0.021,0
759.993,0.021,0
759.994,0.021,0
760.002,0.021,0
760.006,0.021,0
760.007,0.021,0
769.99,0.021,0
769.993,0.021,0
769.996,0.021,0
770,0.021,0
770.004,0.021,0
770.007,0.021,0
779.991,0.021,0
779.993,0.02,0
779.997,0.021,0
780.004,0.021,0
789.99,0.02,0
789.992,0.02,0
789.997,0.02,0
789.998,0.02,0
790.004,0.02,0
799.99,0.02,0
800.006,0.02,0
800.007,0.02,0
800.01,0.02,0
800.013,0.02,0
800.013,0.02,0
809.992,0.02,0
810.001,0.02,0
810.003,0.02,0
810.009,0.02,0
810.01,0.02,0
810.013,0.02,0
819.996,0.019,0
820.001,0.019,0
820.006,0.019,0
820.009,0.019,0
820.01,0.019,0
829.985,0.019,0
829.989,0.019,0
829.991,0.019,0
829.998,0.019,0
829.999,0.019,0
830.007,0.019,0
839.985,0.019,0
839.996,0.019,0
839.998,0.019,0
839.999,0.019,0
840.008,0.019,0
840.011,0.019,0
849.989,0.019,0
849.995,0.019,0
849.998,0.019,0
850.003,0.019,0
850.004,0.019,0
859.993,0.018,0
859.997,0.018,0
859.998,0.018,0
859.999,0.018,0
860.008,0.018,0
860.008,0.018,0
869.996,0.018,0
869.998,0.018,0
869.999,0.018,0
870.01,0.018,0
870.014,0.018,0
879.996,0.018,0
879.999,0.018,0
880,0.018,0
880.01,0.018,0
880.42,0.018,0
889.983,0.018,0
889.997,0.018,0
889.999,0.018,0
890.005,0.018,0
890.006,0.018,0
899.976,0.017,0
899.984,0.017,0
899.987,0.017,0
899.995,0.017,0
899.996,0.017,0
909.933,0.017,0
909.984,0.017,0
909.992,0.017,0
910.01,0.017,0
912.535,0.017,0
919.991,0.017,0
919.994,0.017,0
919.994,0.017,0
920.019,0.017,0
920.023,0.017,0
929.996,0.017,0
929.996,0.017,0
930,0.017,0
930.001,0.017,0
930.022,0.017,0
939.981,0.016,0
939.994,0.017,0
939.999,0.017,0
940.005,0.017,0
940.005,0.017,0
940.008,0.017,0
943.282,0.016,0
949.977,0.016,0
949.998,0.016,0
950,0.016,0
950.028,0.016,0
959.987,0.016,0
959.991,0.016,0
959.999,0.016,0
960.023,0.016,0
969.977,0.016,0
969.992,0.016,0
969.997,0.016,0
970.006,0.016,0
970.008,0.016,0
979.991,0.016,0
979.993,0.016,0
979.999,0.016,0
980,0.016,0
980.004,0.016,0
980.004,0.016,0
989.729,0.016,0
989.99,0.016,0
989.997,0.016,0
989.998,0.016,0
989.998,0.016,0
999.971,0.015,0
999.981,0.015,0
999.993,0.015,0
999.993,0.015,0
999.999,0.015,0
1000,0.015,0
1000.014,0.015,0
