Frequentie (Hz),Spanning (V),Fase (degrees)
99.991,0.048,0
99.995,0.048,0
99.997,0.048,0
99.997,0.048,0
99.997,0.048,0
99.998,0.048,0
99.998,0.048,0
99.998,0.048,0
99.999,0.048,0
100,0.048,0
100.001,0.048,0
100.001,0.048,0
100.001,0.048,0
100.001,0.048,0
100.002,0.048,0
100.004,0.048,0
100.005,0.048,0
100.005,0.048,0
100.007,0.048,0
100.011,0.048,0
100.012,0.048,0
100.013,0.048,0
109.999,0.055,0
110,0.055,0
110,0.055,0
110.001,0.055,0
110.005,0.055,0
119.993,0.063,0
119.996,0.063,0
119.999,0.063,0
120.001,0.063,0
120.009,0.063,0
129.992,0.071,0
129.997,0.071,0
130.001,0.071,0
130.001,0.071,0
132.89,0.073,0
139.998,0.08,0
139.999,0.08,0
140,0.08,0
140.004,0.08,0
149.996,0.091,0
149.996,0.091,0
149.997,0.091,0
149.998,0.091,0
150,0.091,0
150.003,0.091,0
150.003,0.091,0
150.003,0.091,0
159.997,0.103,0
159.999,0.103,0
160.001,0.104,0
160.001,0.103,0
160.003,0.103,0
160.003,0.103,0
160.039,0.104,0
169.997,0.118,0
169.998,0.118,0
169.998,0.118,0
169.998,0.118,0
169.999,0.118,0
169.999,0.118,0
170,0.118,0
170.001,0.118,0
170.004,0.118,0
170.005,0.118,0
170.006,0.118,0
170.007,0.118,0
170.008,0.118,0
170.009,0.118,0
170.011,0.118,0
179.998,0.136,0
180.002,0.135,0
180.002,0.136,0
180.003,0.136,0
180.007,0.136,0
180.01,0.136,0
181.406,0.138,0
190.001,0.156,0
190.001,0.156,0
190.003,0.156,0
190.004,0.156,0
190.005,0.156,0
190.005,0.156,0
190.005,0.156,0
199.996,0.181,0
199.998,0.181,0
199.999,0.181,0
200,0.181,0
200,0.181,0
200,0.181,0
200,0.181,0
200.001,0.181,0
200.001,0.181,0
200.001,0.181,0
200.002,0.181,0
209.995,0.211,0
209.997,0.211,0
209.997,0.211,0
210.002,0.211,0
213.195,0.217,0
219.985,0.243,0
219.986,0.243,0
219.986,0.243,0
219.987,0.243,0
219.992,0.243,0
229.991,0.273,0
229.991,0.273,0
229.993,0.273,0
229.993,0.273,0
229.995,0.273,0
239.99,0.293,0
239.992,0.293,0
239.995,0.293,0
239.995,0.293,0
239.996,0.293,0
