Frequentie (Hz),Spanning (V),Fase (degrees)
99.991,0.072,0
99.997,0.072,0
100,0.072,0
100.002,0.072,0
100.004,0.072,0
100.005,0.072,0
100.005,0.072,0
109.997,0.082,0
109.998,0.082,0
109.998,0.082,0
109.998,0.082,0
109.999,0.082,0
110.001,0.082,0
110.002,0.082,0
110.002,0.082,0
110.003,0.082,0
119.997,0.093,0
119.997,0.093,0
119.999,0.093,0
120,0.093,0
120,0.093,0
120.001,0.093,0
129.998,0.105,0
129.999,0.105,0
130,0.105,0
130.001,0.105,0
130.001,0.105,0
139.998,0.118,0
139.998,0.118,0
139.998,0.118,0
140,0.118,0
140,0.118,0
149.999,0.133,0
149.999,0.133,0
150,0.133,0
150.001,0.133,0
150.001,0.133,0
150.001,0.133,0
159.999,0.15,0
160,0.15,0
160.001,0.15,0
160.001,0.15,0
160.002,0.15,0
169.997,0.169,0
169.999,0.169,0
170,0.169,0
170.001,0.169,0
179.999,0.191,0
180.001,0.191,0
180.002,0.191,0
180.003,0.191,0
180.004,0.191,0
189.996,0.216,0
189.999,0.216,0
189.999,0.216,0
190,0.216,0
190.001,0.216,0
199.992,0.244,0
199.994,0.244,0
199.999,0.244,0
200,0.244,0
209.992,0.274,0
209.996,0.274,0
210,0.274,0
210.001,0.274,0
219.464,0.299,0
219.994,0.303,0
219.994,0.303,0
219.995,0.303,0
219.996,0.303,0
219.998,0.303,0
229.995,0.328,0
229.995,0.328,0
229.996,0.328,0
229.998,0.328,0
229.999,0.328,0
229.999,0.328,0
239.994,0.344,0
239.995,0.344,0
239.996,0.344,0
239.997,0.344,0
239.998,0.344,0
250.003,0.349,0
250.003,0.349,0
250.004,0.349,0
250.004,0.349,0
250.005,0.349,0
258.753,0.346,0
260.004,0.343,0
260.006,0.343,0
260.007,0.343,0
260.009,0.343,0
270.003,0.33,0
270.006,0.33,0
270.007,0.33,0
270.008,0.33,0
270.009,0.33,0
280.004,0.313,0
280.005,0.313,0
280.006,0.313,0
280.007,0.313,0
290.001,0.294,0
290.001,0.294,0
290.002,0.294,0
290.004,0.294,0
292.11,0.291,0
299.992,0.275,0
299.994,0.275,0
299.998,0.275,0
300.001,0.275,0
309.999,0.257,0
310,0.258,0
310,0.258,0
310,0.258,0
310.001,0.257,0
317.309,0.246,0
319.997,0.241,0
319.998,0.241,0
319.999,0.241,0
320,0.241,0
320,0.241,0
329.996,0.226,0
329.997,0.226,0
329.997,0.226,0
330,0.226,0
339.998,0.213,0
339.998,0.213,0
340,0.213,0
340.002,0.213,0
349.998,0.201,0
349.999,0.201,0
349.999,0.201,0
350,0.201,0
350.001,0.201,0
